Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
778,TM10674538,914,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.40,-,-,8.45,-,-,-,-,-,-,8.92
779,TM10674548,2737,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.60,-,-,6.65,-,-,-,-,-,-,7.12
780,TM10674605,279,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.60,-,-,9.35,-,-,-,-,-,-,9.47
781,TM10674615,1403,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.10,-,-,7.90,-,-,-,-,-,-,8.50
782,TM10674626,601,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.60,-,-,9.80,-,-,-,-,-,-,9.20
783,TM10674647,5158,ȘCOALA GIMNAZIALĂ GHIRODA,3.05,-,-,2.00,-,-,-,-,-,-,2.52
784,TM10674673,1441,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.95,-,-,8.00,-,-,-,-,-,-,8.47
785,TM10674739,1062,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.10,-,-,8.60,-,-,Limba germana,8.70,-,-,8.80
786,TM10674749,1811,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.50,-,-,7.80,-,-,-,-,-,-,8.15
787,TM10674787,2716,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.80,-,-,6.50,-,-,-,-,-,-,7.15
788,TM10674793,1180,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.55,-,-,8.85,-,-,-,-,-,-,8.70
789,TM10674829,1762,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.85,-,-,8.55,-,-,-,-,-,-,8.20
790,TM10684315,1078,"ȘCOALA GIMNAZIALĂ NR.19 ""AVRAM IANCU"" TIMIȘOARA",8.50,-,-,9.10,-,-,-,-,-,-,8.80
791,TM10684379,1315,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.95,-,-,8.20,-,-,-,-,-,-,8.57
792,TM10684946,728,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.15,-,-,9.00,-,-,-,-,-,-,9.07
793,TM10685087,3238,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.35,-,-,5.65,-,-,-,-,-,-,6.50
794,TM10685351,14,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.95,-,-,9.85,-,-,-,-,-,-,9.90
795,TM10685419,267,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.35,-,-,9.65,-,-,-,-,-,-,9.50
796,TM10685901,322,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.65,-,-,9.20,-,-,-,-,-,-,9.42
797,TM10685934,3697,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",7.90,-,-,3.85,-,-,-,-,-,-,5.87
798,TM10686037,669,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.15,-,-,9.10,-,-,-,-,-,-,9.12
799,TM10686265,1707,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.45,-,-,9.05,-,-,-,-,-,-,8.25
800,TM10686339,4027,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.35,-,-,3.50,-,-,-,-,-,-,5.42
801,TM10686406,1069,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.90,-,-,8.70,-,-,-,-,-,-,8.80
802,TM10686773,271,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.10,-,-,9.90,-,-,-,-,-,-,9.50
803,TM10686977,2229,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.85,-,-,7.60,-,-,-,-,-,-,7.72
804,TM10687094,3582,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.50,-,-,4.55,-,-,-,-,-,-,6.02
805,TM10687198,280,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.60,-,-,9.35,-,-,-,-,-,-,9.47
806,TM10687343,3570,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",6.55,-,-,5.55,-,-,-,-,-,-,6.05
807,TM10687366,729,ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA,9.10,-,-,9.05,-,-,-,-,-,-,9.07
808,TM10687487,636,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.45,-,-,8.85,-,-,-,-,-,-,9.15
809,TM10687621,752,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.30,-,-,8.80,-,-,-,-,-,-,9.05
810,TM10688959,2093,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.35,-,-,7.35,-,-,-,-,-,-,7.85
811,TM10689314,3528,LICEUL TEHNOLOGIC TRANSPORTURI AUTO TIMIȘOARA,6.70,-,-,5.50,-,-,-,-,-,-,6.10
812,TM10689401,3017,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,8.25,-,-,5.25,-,-,-,-,-,-,6.75
813,TM10693457,691,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",9.75,-,-,8.45,-,-,-,-,-,-,9.10
814,TM10693727,1192,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.80,-,-,7.55,-,-,-,-,-,-,8.67
815,TM10698056,4061,ȘCOALA GIMNAZIALĂ GHIRODA,6.75,-,-,4.00,-,-,-,-,-,-,5.37
816,TM10698463,1187,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.20,-,-,9.20,-,-,-,-,-,-,8.70
817,TM10698500,1295,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.35,-,-,8.85,-,-,-,-,-,-,8.60
818,TM10699534,16,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.80,-,-,10.00,-,-,-,-,-,-,9.90
819,TM10699647,2819,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.15,-,-,6.90,-,-,-,-,-,-,7.02
820,TM10699723,2983,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.55,-,-,6.05,-,-,-,-,-,-,6.80
821,TM10700927,161,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.70,-,-,9.50,-,-,-,-,-,-,9.60
822,TM10701079,1813,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.35,-,-,7.95,-,-,-,-,-,-,8.15
823,TM10701241,1576,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.40,-,-,8.35,-,-,-,-,-,-,8.37
824,TM10701635,1260,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.65,-,-,8.60,-,-,-,-,-,-,8.62
825,TM10701701,1789,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.35,-,-,8.00,-,-,-,-,-,-,8.17
826,TM10702877,127,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.35,-,-,10.00,-,-,-,-,-,-,9.67
827,TM10703301,714,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.45,-,-,8.70,-,-,-,-,-,-,9.07
828,TM10703370,37,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.75,-,-,9.90,-,-,-,-,-,-,9.82
829,TM10703739,266,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.40,-,-,9.60,-,-,-,-,-,-,9.50
830,TM10703789,4014,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",5.90,-,-,5.00,-,-,-,-,-,-,5.45
831,TM10703907,2269,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.15,-,-,7.20,-,-,-,-,-,-,7.67
832,TM10705912,3856,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",5.75,-,-,5.60,-,-,-,-,-,-,5.67
833,TM10705952,2242,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.75,-,-,6.65,-,-,-,-,-,-,7.70
834,TM10706065,1909,ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA,8.15,-,-,7.95,-,-,-,-,-,-,8.05
835,TM10706120,359,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.15,-,-,9.65,-,-,-,-,-,-,9.40
836,TM10706133,944,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.50,-,-,8.30,-,-,-,-,-,-,8.90
837,TM10708437,1203,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.95,-,-,8.40,-,-,-,-,-,-,8.67
838,TM10708510,7,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.95,-,-,9.95,-,-,-,-,-,-,9.95
839,TM10709317,2301,"LICEUL TEORETIC ""TRAIAN VUIA"" FĂGET",8.70,-,-,6.55,-,-,-,-,-,-,7.62
840,TM10726667,4146,ȘCOALA GIMNAZIALĂ NR.15 TIMIȘOARA,6.05,-,-,4.50,-,-,-,-,-,-,5.27
841,TM10761265,3002,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,7.30,-,-,6.25,-,-,-,-,-,-,6.77
842,TM10761305,661,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.40,-,-,8.85,-,-,-,-,-,-,9.12
843,TM10761356,1316,ȘCOALA GIMNAZIALĂ NR.6 TIMIȘOARA,8.85,-,-,8.30,-,-,-,-,-,-,8.57
844,TM10762672,4340,"LICEUL TEHNOLOGIC ""SFÂNTU NICOLAE"" DETA",6.40,-,-,3.55,-,-,-,-,-,-,4.97
845,TM10779396,4872,LICEUL TEORETIC BUZIAȘ,3.85,-,-,4.00,-,-,-,-,-,-,3.92
846,TM10782951,4604,ȘCOALA GIMNAZIALĂ BELINȚ,5.00,-,-,4.00,-,-,-,-,-,-,4.50
847,TM10809587,690,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",10.00,-,-,8.20,-,-,-,-,-,-,9.10
848,TM10826978,506,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.75,-,-,9.80,-,-,-,-,-,-,9.27
849,TM10827426,1033,ȘCOALA GIMNAZIALĂ SÂNMIHAIU ROMÂN,9.25,-,-,8.40,-,-,-,-,-,-,8.82
850,TM10828938,2635,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.60,-,-,6.95,-,-,-,-,-,-,7.27
851,TM10843087,699,"LICEUL CU PROGRAM SPORTIV ""BANATUL"" TIMIȘOARA",9.15,-,-,9.05,-,-,-,-,-,-,9.10
852,TM10860541,2504,"LICEUL CU PROGRAM SPORTIV ""BANATUL"" TIMIȘOARA",7.55,-,-,7.30,-,-,-,-,-,-,7.42
853,TM10921837,4506,ȘCOALA GIMNAZIALĂ SÂNANDREI,4.90,-,-,4.50,-,-,-,-,-,-,4.70
854,TM10922151,2298,"LICEUL TEOLOGIC ORTODOX ""SFÂNTUL ANTIM IVIREANUL"" TIMIȘOARA",6.90,-,-,8.40,-,-,-,-,-,-,7.65
855,TM10922367,3603,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",6.20,-,-,6.80,-,-,Limba germana,5.05,-,-,6.01
856,TM10923225,2584,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.40,-,-,6.25,-,-,-,-,-,-,7.32
857,TM10923367,986,ȘCOALA GIMNAZIALĂ ȘAG,8.95,-,-,8.80,-,-,-,-,-,-,8.87
858,TM10923674,92,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.55,-,-,9.90,-,-,-,-,-,-,9.72
859,TM10923816,2331,ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA,8.20,-,-,7.00,-,-,-,-,-,-,7.60
860,TM10923875,1933,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.55,-,-,7.50,-,-,-,-,-,-,8.02
861,TM10924032,182,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,9.70,-,-,9.55,-,-,Limba germana,9.50,-,-,9.58
862,TM10924068,928,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.90,-,-,8.95,-,-,-,-,-,-,8.92
863,TM10924096,1272,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.05,-,-,8.25,-,-,Limba germana,8.55,-,-,8.61
864,TM10924111,2206,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",7.90,-,-,7.60,-,-,-,-,-,-,7.75
865,TM10924148,61,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",10.00,-,-,9.30,-,-,Limba germana,10.00,-,-,9.76
866,TM10924390,414,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.80,-,-,8.80,-,-,Limba germana,9.40,-,-,9.33
867,TM10924434,584,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.30,-,-,9.10,-,-,-,-,-,-,9.20
868,TM10924505,2414,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.45,-,-,6.95,-,-,Limba germana,8.15,-,-,7.51
869,TM10924676,3025,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,7.60,-,-,6.40,-,-,Limba germana,6.25,-,-,6.75
870,TM10924744,2288,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.60,-,-,7.15,-,-,Limba germana,8.20,-,-,7.65
871,TM10924839,3126,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.35,-,-,5.40,-,-,Limba germana,7.15,-,-,6.63
872,TM10924859,3508,ȘCOALA GIMNAZIALĂ GIERA,6.55,-,-,5.70,-,-,-,-,-,-,6.12
873,TM10924898,2701,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",7.15,-,-,7.20,-,-,-,-,-,-,7.17
874,TM10924903,2929,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA",7.10,-,-,6.65,-,-,-,-,-,-,6.87
875,TM10924906,940,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.20,-,-,8.80,-,-,Limba germana,8.75,-,-,8.91
876,TM10924938,629,LICEUL MONTESSORI TIMIȘOARA,8.75,-,-,9.45,-,-,Limba germana,9.30,-,-,9.16
877,TM10924949,1188,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.25,-,-,7.65,-,-,Limba germana,9.15,-,-,8.68
878,TM10925030,909,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.75,-,-,9.30,-,-,Limba germana,8.75,-,-,8.93
879,TM10925145,1686,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.70,-,-,7.80,-,-,-,-,-,-,8.25
880,TM10925151,1669,"LICEUL TEOLOGIC ROMANO-CATOLIC ""GERHARDINUM"" TIMIȘOARA",8.70,-,-,7.85,-,-,-,-,-,-,8.27
881,TM10925218,3389,ȘCOALA GIMNAZIALĂ GIERA,7.55,-,-,5.00,-,-,-,-,-,-,6.27
882,TM10925225,4258,ȘCOALA GIMNAZIALĂ GIERA,5.70,-,-,4.50,-,-,-,-,-,-,5.10
883,TM10925331,3037,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",6.50,-,-,6.40,-,-,Limba germana,7.35,-,-,6.75
884,TM10925417,377,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.35,-,-,9.40,-,-,-,-,-,-,9.37
885,TM10925500,2083,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.85,-,-,8.20,-,-,Limba germana,7.55,-,-,7.86
886,TM10925517,764,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.95,-,-,9.15,-,-,-,-,-,-,9.05
887,TM10925536,1869,"LICEUL TEORETIC ""DAVID VONIGA"" GIROC",8.20,-,-,8.00,-,-,-,-,-,-,8.10
888,TM10925572,3789,LICEUL MONTESSORI TIMIȘOARA,5.80,-,-,5.80,-,-,Limba germana,5.70,-,-,5.76
889,TM10925581,1924,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",8.75,-,-,8.15,-,-,Limba germana,7.20,-,-,8.03
890,TM10925626,1646,"ȘCOALA GIMNAZIALĂ NR.19 ""AVRAM IANCU"" TIMIȘOARA",8.75,-,-,7.85,-,-,-,-,-,-,8.30
891,TM10925749,743,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.05,-,-,9.35,-,-,Limba germana,8.80,-,-,9.06
892,TM10925846,2805,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.90,-,-,6.50,-,-,Limba germana,6.70,-,-,7.03
893,TM10931045,571,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.70,-,-,9.75,-,-,-,-,-,-,9.22
894,TM10936861,4162,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",6.35,-,-,4.15,-,-,-,-,-,-,5.25
895,TM10937794,4953,ȘCOALA GIMNAZIALĂ VARIAȘ,3.90,-,-,3.50,-,-,-,-,-,-,3.70
896,TM10939019,889,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.10,-,-,8.55,-,-,Limba germana,9.20,-,-,8.95
897,TM10939186,48,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.70,-,-,9.90,-,-,Limba germana,9.80,-,-,9.80
898,TM10939270,628,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.30,-,-,9.55,-,-,Limba germana,8.65,-,-,9.16
899,TM10939390,3949,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",7.35,-,-,3.70,-,-,-,-,-,-,5.52
900,TM10939520,3156,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,7.15,-,-,6.05,-,-,-,-,-,-,6.60
901,TM10939734,29,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",10.00,-,-,9.55,-,-,Limba germana,9.95,-,-,9.83
902,TM10939777,1540,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.85,-,-,7.95,-,-,-,-,-,-,8.40
903,TM10939863,129,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.90,-,-,9.80,-,-,Limba germana,9.25,-,-,9.65
904,TM10939928,1621,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",9.15,-,-,7.50,-,-,-,-,-,-,8.32
905,TM10940137,2057,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.50,-,-,8.60,-,-,Limba germana,7.60,-,-,7.90
906,TM10940265,730,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.10,-,-,9.05,-,-,-,-,-,-,9.07
907,TM10940344,56,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.70,-,-,9.85,-,-,-,-,-,-,9.77
908,TM10940371,1350,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",8.60,-,-,8.60,-,-,Limba germana,8.45,-,-,8.55
909,TM10940417,173,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.40,-,-,9.80,-,-,Limba germana,9.60,-,-,9.60
910,TM10940494,602,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.55,-,-,8.75,-,-,Limba germana,9.25,-,-,9.18
911,TM10940590,1423,"ȘCOALA GIMNAZIALĂ NR.19 ""AVRAM IANCU"" TIMIȘOARA",8.45,-,-,8.55,-,-,-,-,-,-,8.50
912,TM10940749,1042,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.75,-,-,8.90,-,-,-,-,-,-,8.82
913,TM10940837,938,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.70,-,-,8.80,-,-,Limba germana,8.25,-,-,8.91
914,TM10940906,3610,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,7.10,-,-,4.90,-,-,-,-,-,-,6.00
915,TM10940990,437,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.70,-,-,9.00,-,-,Limba germana,9.25,-,-,9.31
916,TM10941174,876,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.15,-,-,9.00,-,-,Limba germana,8.75,-,-,8.96
917,TM10941286,2785,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",6.80,-,-,6.95,-,-,Limba germana,7.45,-,-,7.06
918,TM10941435,1196,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.20,-,-,8.15,-,-,-,-,-,-,8.67
919,TM10941634,939,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.25,-,-,10.00,-,-,Limba germana,7.50,-,-,8.91
920,TM10941835,970,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",8.65,-,-,9.45,-,-,Limba germana,8.60,-,-,8.90
921,TM10941925,971,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.65,-,-,9.15,-,-,-,-,-,-,8.90
922,TM10948061,2373,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",7.70,-,-,7.05,-,-,Limba germana,7.95,-,-,7.56
923,TM10949819,3555,ȘCOALA GIMNAZIALĂ BIRDA,7.60,-,-,4.50,-,-,-,-,-,-,6.05
924,TM10953569,2382,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.10,-,-,6.40,-,-,Limba germana,8.15,-,-,7.55
925,TM10953650,4558,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",5.60,-,-,3.55,-,-,-,-,-,-,4.57
926,TM10953780,1947,"LICEUL TEORETIC ""BARTÓK BÉLA"" TIMIȘOARA",7.45,-,-,8.00,-,-,Limba maghiara,8.60,-,-,8.01
927,TM10954231,603,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,9.30,-,-,9.15,-,-,Limba germana,9.10,-,-,9.18
928,TM10954951,4972,ȘCOALA GIMNAZIALĂ CHEVEREȘU MARE,4.25,-,-,3.00,-,-,-,-,-,-,3.62
929,TM10954979,2719,ȘCOALA GIMNAZIALĂ NR.27 TIMIȘOARA,7.55,-,-,6.75,-,-,-,-,-,-,7.15
930,TM10955011,1915,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,8.00,-,-,8.10,-,-,-,-,-,-,8.05
931,TM10955053,1772,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,8.80,-,-,7.55,-,-,-,-,-,-,8.17
932,TM10955117,4848,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,5.45,-,-,2.50,-,-,-,-,-,-,3.97
933,TM10955146,4188,ȘCOALA GIMNAZIALĂ NR.2 TIMIȘOARA,6.20,-,-,4.20,-,-,-,-,-,-,5.20
934,TM10955204,1161,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,9.50,-,-,7.90,-,-,-,-,-,-,8.70
935,TM10955214,2364,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,7.75,-,-,7.40,-,-,-,-,-,-,7.57
936,TM10955246,2840,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,6.40,-,-,7.60,-,-,-,-,-,-,7.00
937,TM10955337,2761,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,7.60,-,-,6.60,-,-,-,-,-,-,7.10
938,TM10955479,1689,"LICEUL TEORETIC ""IULIA HAȘDEU"" LUGOJ",8.60,-,-,7.90,-,-,-,-,-,-,8.25
939,TM10955543,5269,ȘCOALA GIMNAZIALĂ REMETEA MARE,Absent,-,-,Absent,-,-,-,-,-,-,Absent
940,TM10955708,2856,"ȘCOALA GIMNAZIALĂ ""GEORGE GÂRDA"" MĂNĂȘTIUR",7.15,-,-,6.80,-,-,-,-,-,-,6.97
941,TM10955776,3854,LICEUL TEORETIC RECAȘ,5.90,-,-,5.45,-,-,-,-,-,-,5.67
942,TM10955779,1456,"ȘCOALA GIMNAZIALĂ ""GEORGE GÂRDA"" MĂNĂȘTIUR",8.25,-,-,8.70,-,-,-,-,-,-,8.47
943,TM10955804,4091,LICEUL TEORETIC GĂTAIA,5.00,-,-,5.70,-,-,-,-,-,-,5.35
944,TM10955843,4681,LICEUL TEORETIC GĂTAIA,5.35,-,-,3.30,-,-,-,-,-,-,4.32
945,TM10955938,3970,LICEUL TEORETIC RECAȘ,6.05,-,-,4.95,-,-,-,-,-,-,5.50
946,TM10957222,4823,LICEUL TEORETIC RECAȘ,5.95,-,-,2.10,-,-,-,-,-,-,4.02
947,TM10959788,4193,ȘCOALA GIMNAZIALĂ NR.20 TIMIȘOARA,5.40,-,-,5.00,-,-,-,-,-,-,5.20
948,TM10959837,4313,ȘCOALA GIMNAZIALĂ IOHANISFELD,5.45,-,-,4.60,-,-,-,-,-,-,5.02
949,TM10960045,4440,ȘCOALA GIMNAZIALĂ UIVAR,5.65,-,-,4.00,-,-,-,-,-,-,4.82
950,TM10960149,4431,ȘCOALA GIMNAZIALĂ OTELEC,3.50,-,-,4.15,-,-,Limba maghiara,6.90,-,-,4.85
951,TM10960168,4236,ȘCOALA GIMNAZIALĂ OTELEC,5.60,-,-,3.10,-,-,Limba maghiara,6.70,-,-,5.13
952,TM10960230,5270,ȘCOALA GIMNAZIALĂ IOHANISFELD,Absent,-,-,Absent,-,-,-,-,-,-,Absent
953,TM10962377,4521,ȘCOALA GIMNAZIALĂ NR.15 TIMIȘOARA,6.30,-,-,3.00,-,-,-,-,-,-,4.65
954,TM10962393,3691,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,6.00,-,-,5.80,-,-,-,-,-,-,5.90
